Sample_ID	Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
52	E7	2020-06-22-R1	Trehalose	Low	CD3014	RT001	7	0	0	0.089	0.086	0.173	3.3615	1.0909090909090908	0.089	3.134597339779569e-06	0.5985333720976338	0.5310607712732721	0.37289938826465163	0.3169248453423672	7.333333333333333	0.14415808562705956	0.04066357768632646	4.808243516448559	6.0	7.333333333333333	0.0	0.0	4.710481074729883	0.0	0.0	7.5	FALSE
52	E7	2020-06-22-R1	Trehalose	Low	CD3014	RT001	7	0	0	0.089	0.086	0.173	3.3615	1.0909090909090908	0.089	3.134597339779569e-06	1.2505079561329424	1.1101623499062832	0.31224063858487106	0.2717360872592295	12.666666666666666	0.13524949576839468	-0.040874071517138524	5.124952049706059	9.166666666666666	13.333333333333334	0.016767688205302722	0.012860246133319486	8.149765702048011	7.5	7.5	13.5	FALSE
52	E7	2020-06-22-R1	Trehalose	Low	CD3014	RT001	7	0	0	0.089	0.086	0.173	3.3615	1.0909090909090908	0.089	3.134597339779569e-06	0.49045918722045434	0.4720155355560118	0.09016783940641382	0.08633166549398019	22.333333333333332	0.04733887261999454	-0.006704451887712123	14.64224097865779	15.333333333333334	22.833333333333332	0.002918536219385315	0.0026807338934669023	15.329368010413262	14.333333333333334	13.5	24.0	FALSE
53	F7	2020-06-22-R1	Trehalose	High	CD3014	RT001	7	0	0	0.084	0.083	0.157	3.0199999999999996	0.948051948051948	0.084	1.2789976628371135e-06	0.42916529437351764	0.3988859810161851	0.2124197446124403	0.19261815162848725	6.0	0.06871263366300687	0.019951585716546566	10.087623536006568	4.0	6.0	0.0	0.0	2.579421218417041	0.0	0.0	6.166666666666667	FALSE
53	F7	2020-06-22-R1	Trehalose	High	CD3014	RT001	7	0	0	0.084	0.083	0.157	3.0199999999999996	0.948051948051948	0.084	1.2789976628371135e-06	0.8610569895278143	0.7644950115520441	0.33579815530082646	0.28952898233885865	10.5	0.11711566235729834	-0.02689758293769518	5.918484057625706	8.666666666666666	11.0	0.011178718252572883	0.008403781477540506	7.2508829255738005	6.166666666666667	6.166666666666667	11.166666666666666	FALSE
53	F7	2020-06-22-R1	Trehalose	High	CD3014	RT001	7	0	0	0.084	0.083	0.157	3.0199999999999996	0.948051948051948	0.084	1.2789976628371135e-06	0.9748790588816207	0.9177685303661314	0.16680311072256648	0.15426762503681485	23.666666666666668	0.030140938688866244	-0.0017887854109187563	22.996867739092238	16.833333333333332	23.833333333333332	9.527261354946859e-06	8.165302409546271e-06	14.561223028543893	12.333333333333334	11.166666666666666	24.0	FALSE
54	G7	2020-06-22-R1	Water	None	CD3014	RT001	7	1	0	0.085	0.083	0.162	3.2351666666666663	1.0	0.085	7.618719593005579e-07	0.6753299025036111	0.5812502400865076	0.44318917542821135	0.366855369901899	7.833333333333333	0.15736579887856023	0.0379110825000803	4.404687584592949	6.5	7.833333333333333	0.0	0.0	5.082086550294271	0.6666666666666666	0.0	8.0	FALSE
54	G7	2020-06-22-R1	Water	None	CD3014	RT001	7	1	0	0.085	0.083	0.162	3.2351666666666663	1.0	0.085	7.618719593005579e-07	4.115574133567204	3.6309755857040487	0.31109143500834047	0.2708599468257622	23.833333333333332	0.1551348636008411	0.014005042315947855	4.468029716024369	9.5	23.833333333333332	0.0	0.0	8.656751076216372	8.0	8.0	24.0	FALSE
66	C9	2020-06-22-R1	Fructose	Low	CD4010	RT027	9	0	0	0.087	0.084	0.641	8.554499999999999	6.595238095238096	0.087	2.8527997990724633e-05	8.172091434659416	4.360960309742558	3.3544536649650025	1.4711991523695072	10.5	0.42677008709245445	-0.025213531607245307	1.6241700192304798	8.5	10.666666666666666	0.009789706267407716	0.002250736413430099	6.243166064177667	0.0	0.0	10.833333333333334	FALSE
66	C9	2020-06-22-R1	Fructose	Low	CD4010	RT027	9	0	0	0.087	0.084	0.641	8.554499999999999	6.595238095238096	0.087	2.8527997990724633e-05	5.116470117190557	4.061888063672579	0.6919706247698849	0.5258938997862104	15.666666666666666	0.2359875946245704	-0.31087498390768686	2.9372187197495028	13.0	23.5	0.8595289254526512	0.7092859902161928	12.153174455716053	11.5	10.833333333333334	24.0	FALSE
67	D9	2020-06-22-R1	Fructose	High	CD4010	RT027	9	0	0	0.083	0.08	0.659	9.141333333333334	6.857142857142858	0.083	2.924985351633732e-05	9.214897928825126	4.809921169723342	3.4842477993793795	1.500570766702456	11.333333333333334	0.39804240293982757	0.016249788442672834	1.7413903027430195	8.666666666666666	11.333333333333334	0.0	0.0	6.403646164943462	0.0	0.0	11.5	FALSE
67	D9	2020-06-22-R1	Fructose	High	CD4010	RT027	9	0	0	0.083	0.08	0.659	9.141333333333334	6.857142857142858	0.083	2.924985351633732e-05	7.183652125248346	5.4629638964571425	0.7511051186792093	0.5602470850136028	18.666666666666668	0.2141291774120901	-0.008429760552088824	3.2370515262662614	14.0	19.666666666666668	0.01249684624070424	0.0071621352587336595	12.721211364050369	11.5	11.5	24.0	FALSE
72	A10	2020-06-22-R1	Glucose	Low	CD4011	RT001	10	0	0	0.092	0.091	0.701	11.158333333333333	5.691588785046728	0.092	5.421985028093207e-05	9.53785868562995	4.857888646233243	3.8837939597865248	1.5859223685826753	7.666666666666667	0.45203810241125475	0.018945801830044056	1.5333822013289813	5.333333333333333	7.666666666666667	0.0	0.0	3.125696495080783	0.0	0.0	7.833333333333333	FALSE
72	A10	2020-06-22-R1	Glucose	Low	CD4011	RT001	10	0	0	0.092	0.091	0.701	11.158333333333333	5.691588785046728	0.092	5.421985028093207e-05	4.965538092221538	4.187041748044949	0.5160384498830777	0.41610064961825977	13.0	0.17480133130204992	-0.04548513701082074	3.9653426858758523	10.0	18.5	0.44127203890145217	0.3439973037601005	8.900716323896953	7.833333333333333	7.833333333333333	24.0	FALSE
73	B10	2020-06-22-R1	Glucose	High	CD4011	RT001	10	0	0	0.099	0.098	0.762	12.87283333333333	6.19626168224299	0.099	9.079095345742314e-05	6.403661105904846	3.6497269198119704	3.0127674949788767	1.3894811516493906	7.166666666666667	0.43556213069958644	0.0709525466083743	1.5913853195791694	5.166666666666667	7.166666666666667	0.0	0.0	3.226041498166109	0.0	0.0	7.333333333333333	FALSE
73	B10	2020-06-22-R1	Glucose	High	CD4011	RT001	10	0	0	0.099	0.098	0.762	12.87283333333333	6.19626168224299	0.099	9.079095345742314e-05	11.854638239840316	8.770872334740654	0.8770320039310251	0.6296918080349447	14.166666666666666	0.2886521037559422	-0.016771664098797066	2.4013238481227464	9.166666666666666	23.833333333333332	0.1484876036902809	0.08241214083417248	8.02883034498828	7.333333333333333	7.333333333333333	24.0	FALSE
